,AAPL_open,AAPL_high,AAPL_low,AAPL_close,AAPL_volume,AAPL_RSI,MSFT_open,MSFT_high,MSFT_low,MSFT_close,MSFT_volume,MSFT_RSI
1999-11-01,80.0000,80.6900,77.3700,77.6200,2487300,,93.2500,94.1900,92.1200,92.3700,26630600,
1999-11-02,78.0000,81.6900,77.3100,80.2500,3564600,,92.7500,94.5000,91.9400,92.5600,23174500,
1999-11-03,81.6200,83.2500,81.0000,81.5000,2932700,,92.9400,93.5000,91.5000,92.0000,22258500,
1999-11-04,82.0600,85.3700,80.6200,83.6200,3384700,,92.3100,92.7500,90.3100,91.7500,27119700,
1999-11-05,84.6200,88.3700,84.0000,88.3100,3721500,,91.8100,92.8700,90.5000,91.5600,35083700,
1999-11-08,87.7500,97.7300,86.7500,96.3700,8490400,,84.8100,90.7500,84.3700,89.9400,121909600,
1999-11-09,94.3700,94.5000,88.0000,89.6200,7224800,,89.7500,89.8700,86.4400,88.8700,54884900,
1999-11-10,88.2500,93.2500,88.1200,91.4400,5159800,,88.1200,89.1200,86.4400,87.1200,34692700,
1999-11-11,91.5900,92.6200,89.8700,92.2500,2409600,,88.2500,90.4400,88.2500,89.6200,34637300,
1999-11-12,91.9400,92.0000,87.3700,90.6200,2491600,,89.7500,90.0000,87.0600,89.1900,24707100,
1999-11-15,89.6200,92.8700,88.5000,89.4400,2320600,,88.2500,88.5000,86.9400,87.0000,23540200,
1999-11-16,90.0000,91.7500,88.5000,91.1900,2088000,,86.9400,87.7500,85.8700,87.3100,29582600,
1999-11-17,90.6900,94.7500,90.0000,90.2500,3255100,,86.4400,87.0600,85.0000,85.0000,33409500,
1999-11-18,91.0600,91.1200,88.4400,89.6200,3257000,,84.9400,85.8100,84.5000,84.9400,32246600,
1999-11-19,89.5000,92.8700,88.0600,92.4400,2790300,69.9838,84.4400,86.5600,84.3700,86.0000,29113000,28.0193
1999-11-22,91.7500,91.7500,89.2500,90.6200,1806800,66.4703,89.6200,90.3700,88.4400,89.8100,45298300,43.9039
1999-11-23,91.7500,95.2500,88.5000,92.8100,4851000,68.5184,89.2500,91.3700,88.3700,89.6200,35393700,43.3896
1999-11-24,93.0000,95.0000,91.6900,94.6900,1920600,70.2012,89.5600,92.2500,89.5000,91.6900,26885500,50.2292
1999-11-26,94.7500,95.5000,94.1200,95.0600,1179200,70.5350,91.6200,93.3700,91.0000,91.1200,14257100,48.4919
1999-11-29,94.2500,99.7500,93.2500,94.5600,4144300,69.4036,90.1200,92.0600,89.5000,90.1900,25730100,45.7136
1999-11-30,98.1200,103.7500,97.3700,97.8700,7528400,72.5435,89.7500,92.8700,89.5600,91.0500,32072800,48.6438
1999-12-01,101.0000,104.5000,100.0600,103.0600,5522900,76.5988,91.0600,93.9400,90.8700,93.1900,24432100,55.1336
1999-12-02,103.1200,110.6200,101.7500,110.1900,5065700,80.7953,93.0600,95.2500,92.8700,94.8100,27736900,59.3240
1999-12-03,112.1900,115.5600,111.8700,115.0000,5785000,83.0089,95.8100,97.1200,95.7300,96.1200,32050300,62.3836
1999-12-06,114.5600,117.3100,111.4400,116.0000,4167700,83.4364,95.2500,97.1900,94.7500,95.4400,24549100,59.8663
1999-12-07,116.5600,118.0000,114.0000,117.8100,3973400,84.2107,94.7500,94.8700,92.8700,93.0000,28429600,51.7908
1999-12-08,116.2500,117.8700,109.5000,110.0600,3681700,69.2776,93.1200,94.3100,91.6900,91.7500,20477900,48.2034
1999-12-09,111.0000,111.0000,100.8700,105.2500,7635700,61.9366,92.0000,93.3100,91.4400,92.7500,23129100,51.1203
1999-12-10,105.3100,109.2500,99.0000,103.0000,5694300,58.7979,93.3700,94.1200,92.2500,93.8700,18418000,54.2293
1999-12-13,102.3900,102.5000,98.9400,99.0000,4731800,53.5979,93.6100,96.9400,92.7500,96.6200,26345800,60.8189
1999-12-14,98.3700,99.7500,94.7500,94.8700,3891700,48.7991,96.1900,101.1200,95.3100,98.6900,72058100,64.9137
1999-12-15,93.2500,97.2500,91.0600,97.0000,5562300,51.2246,98.5600,108.7500,98.5000,108.4400,77785800,77.0696
1999-12-16,98.0000,98.3700,94.0000,98.3100,4141300,52.7084,109.2500,115.0000,108.9400,113.6900,64330100,80.9057
1999-12-17,100.8700,102.0000,98.5000,100.0000,4419700,54.6261,116.6200,117.1200,113.6200,115.2500,52949400,81.8759
1999-12-20,99.5600,99.6200,96.6200,98.0000,2535600,51.9417,114.8100,115.0000,111.1900,112.7500,19716900,75.2746
1999-12-21,98.1900,103.0600,97.9400,102.5000,2746400,57.0553,112.3700,116.6200,110.6200,115.8700,28723000,77.6920
1999-12-22,102.8700,104.5600,98.7500,99.9400,2920300,53.5636,116.3000,118.0000,115.1200,117.5600,19282600,78.8956
1999-12-23,101.8100,104.2500,101.0600,103.5000,2049400,57.4622,117.2500,119.2500,116.7500,117.4400,15514200,78.5714
1999-12-27,104.3700,104.4400,99.2500,99.3100,1503500,51.9355,118.4400,119.2500,116.1200,119.1200,16101100,79.8214
1999-12-28,99.1200,99.6200,95.0000,98.1900,2210500,50.5363,118.7500,118.8100,117.0600,117.5000,12295500,75.2622
